Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS,param,type,response
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Acrosome
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Acrosome
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Acrosome
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Acrosome
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Acrosome
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Flagellum
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Flagellum
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Flagellum
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Flagellum
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Flagellum
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Head
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Head
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Head
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Head
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Head
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Midpiece
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Midpiece
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Midpiece
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Midpiece
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Midpiece
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Nucleus
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Nucleus
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Nucleus
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Nucleus
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Nucleus
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Tail
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Tail
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Tail
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Tail
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Tail
0.0335707076283965,0.187247090971482,-0.347850117484429,0.384969061460898,0.99999406067635,4865.98985421299,4013.12315550404,Intercept,fixed,CV Total
-0.265462627880337,0.238599980423099,-0.734746711290096,0.20388852842712,1.00041142231928,4951.78237490826,4733.89586356375,MorphSatellite,fixed,CV Total
0.224778441406936,0.376848437249607,-0.522093851012753,0.960749488699351,1.00011227344164,4928.7229996666,5015.79733906671,MorphFaeder,fixed,CV Total
0.705183623474292,0.255272506731006,0.0963580625161834,1.10813428336696,1.00137093508086,2680.56805812341,3836.34128193724,relatedness_sd,random,CV Total
0.702724327209319,0.181559354970999,0.36153435485254,1.04347777122376,1.0024767456229,2601.47139011669,2963.36625667557,residual_sd,random,CV Total
